#,No IH,,,,,,IH,,,,,
#,2SPSA,,2RDSA-Unif,,2RDSA-Asy,,2SPSA,,2RDSA-Unif,,2RDSA-Asy,
#,Nor loss,std error,Nor loss,std error,Nor loss,std error,Nor loss,std error,Nor loss,std error,Nor loss,std error
1000,0.1734,0.0154,0.1821,0.0179,0.0379,0.0048,0.1358,0.01655,0.0738,0.01045,0.0964,0.0035
2000,0.1665,0.0149,0.1588,0.01795,0.042,0.00735,0.1588,0.01525,0.0624,0.0196,0.0437,0.0094
3000,0.156,0.0149,0.1401,0.0123,0.0436,0.0086,0.1069,0.01255,0.0487,0.00785,0.0245,0.00085
4000,0.157,0.0159,0.1382,0.0118,0.0467,0.01045,0.1052,0.0131,0.0412,0.00625,0.0237,0.01385
5000,0.1481,0.01335,0.1246,0.0111,0.0446,0.00955,0.1043,0.01315,0.0424,0.0074,0.021,0.0139
6000,0.1318,0.01215,0.1326,0.0128,0.0485,0.01255,0.0961,0.0135,0.0389,0.0103,0.0131,0.0006
7000,0.1428,0.015,0.1199,0.01505,0.0508,0.0136,0.0957,0.0114,0.0339,0.00585,0.0114,0.00055
8000,0.1411,0.0137,0.1123,0.0129,0.0528,0.01175,0.1003,0.0133,0.0305,0.0039,0.0136,0.00695
9000,0.1416,0.01245,0.0958,0.0096,0.043,0.00805,0.0958,0.01275,0.0259,0.0036,0.0243,0.01915
10000,0.132,0.01335,0.1155,0.0107,0.0471,0.0105,0.1045,0.01775,0.0271,0.00265,0.0098,0.0007
